date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ceratulina bicornis,144,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros ceratosporus,720,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros cinctus,121952,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros cinctus/radicans resting stg,432,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chetoceros debilis,29400,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros laciniosus,4464,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros radicans,28800,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros seiracanthus,3168,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros socialis,79920,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros spp.,16416,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros spp. resting stg,720,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Cylindrotheca closterium,3600,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dactyliosolen fragilissimus,144,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dactyliosolen phuketensis,864,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Detonula pumila,144,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Guinardia delicatula,2016,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia delicatissima,5904,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia multiseries,7344,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia seriata,2304,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Stephanopyxis turris,432,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassionema nitzschioides,1872,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira nordenskioeldii,59200,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira pacifica,32033,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira rotula,24600,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira spp.,20800,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira sp. Auxospore,144,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pterosperma spp.,5834,Chlorophyta-Prasinophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pyramimonas grossii,5834,Chlorophyta-Prasinophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pyramimonas orientalis,5834,Chlorophyta-Prasinophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,"Protozoa (alpha-starch, Chlorophyta?)",55423,Chlorophyta-Prasinophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Choanozoa,55423,Choanoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Myronecta rubra,144,Ciliophora
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Tintinnina,432,Ciliophora
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Hillea sp.,17502,Cryptophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Teleaulax spp.,32087,Cryptophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dictyocha speculum,144,Dictyochophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Meringosphaerae mediterranea,2917,Dictyochophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ceratium lineatum,144,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Gymnodinium spp.,288,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Gyrodinium spp.,144,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Katodinium spp.,8751,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Protoperidinium steinii,432,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pyrocystis lunula,144,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dinophyceae (resting stages),476,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dinophyceae,720,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,"Protozoa (equatorial groove, Dinophyceae?)",14585,Dinoflagellata
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ebria tripartita,288,Ebriidea
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Euglenozoa,144,Euglenophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Protozoa,131265,Unknown very small flagellated species
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Biddulphiales,20419,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pennales,7130,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Skeletonema marinoi,496000,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros tenuissimus,43750,Bacillariophyta
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Oligotrichea,720,Ciliophora
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros cinctus,1200,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chetoceros debilis,2000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros decipiens,200,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros socialis,1400,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros spp.,200,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros subtilis,600,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Cylindrotheca closterium,2000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dactyliosolen fragilissimus,600,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dactyliosolen phuketensis,2400,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Detonula pumila,1000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Guinardia delicatula,800,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Leptocylindrus danicus,3600,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia delicatissima,5000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia multiseries,2800,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia seriata,2600,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassionema nitzschioides,800,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira spp.,8000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pterosperma spp.,5000,Chlorophyta-Prasinophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pyramimonas orientalis,20000,Chlorophyta-Prasinophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,"Protozoa (alpha-starch, Chlorophyta?)",110000,Chlorophyta-Prasinophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Monosiga marina,5000,Choanoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Parvicorbicula socialis,5000,Choanoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Choanozoa,55000,Choanoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Myronecta rubra,1600,Ciliophora
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Hillea sp.,90000,Cryptophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Teleaulax spp.,175000,Cryptophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dictyocha speculum,1800,Dictyochophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ceratium lineatum,200,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ceratium furca,200,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dinophysis acuminata,200,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Gonyaulax spp.,1200,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Gymnodinium spp.,2400,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Gyrodinium spp.,3000,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Katodinium spp.,20000,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Protoperidinium spp.,800,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Protoperidinium steinii,200,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dinophyceae (resting stages),200,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dinophyceae,3800,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,"Protozoa (equatorial groove, Dinophyceae?)",5000,Dinoflagellata
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ebria tripartita,11600,Ebriidea
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Euglenozoa,800,Euglenophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Foraminifera,800,Protozoa
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Protozoa,320000,Unknown very small flagellated species
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Biddulphiales,25000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pennales,16000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Skeletonema marinoi,780000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros tenuissimus,5000,Bacillariophyta
2020-06-04,2020-06-04T18:22:20Z,CPHY523,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Oligotrichea,9200,Ciliophora
2021-01-11,2021-01-11T17:47:59Z,CPHY541,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros danicus,40,Bacillariophyta
2021-01-11,2021-01-11T17:47:59Z,CPHY541,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Cylindrotheca closterium,280,Bacillariophyta
2021-01-11,2021-01-11T17:47:59Z,CPHY541,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ditylum brightwellii,40,Bacillariophyta
2021-01-11,2021-01-11T17:47:59Z,CPHY541,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Paralia sulcata,720,Bacillariophyta
2021-01-11,2021-01-11T17:47:59Z,CPHY541,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassionema nitzschioides,120,Bacillariophyta
